"Week.ending","ILIplus_H1H1","ILIplus_H3N2","ILIplus_B"
"1998-01-04",0.000279751847392739,0.00867230726917492,0
"1998-01-11",0.000466619168546256,0.00521058071543319,0
"1998-01-18",0.000259668995491803,0.00616713864293033,0.000129834497745902
"1998-01-25",0.000417815125295508,0.0107796302326241,0
"1998-02-01",0.000722804481282051,0.0123909339648352,0
"1998-02-08",0.000172230544158416,0.0140367893489109,0
"1998-02-15",0.0003553384375,0.019810117890625,0.00017766921875
"1998-02-22",0.000422374306778169,0.0243287600704225,8.44748613556338e-05
"1998-03-01",8.20457707198953e-05,0.0350335440973953,0.000164091541439791
"1998-03-08",0.000424218960808081,0.0393463086149495,0.00010605474020202
"1998-03-15",0.000194002873717754,0.0285184224365099,0.000291004310576631
"1998-03-22",0.000321747035352941,0.0227367904982745,0.000428996047137255
"1998-03-29",0,0.0170680937557823,0.00066155402154195
"1998-04-05",0,0.0103572357128862,0.000183313906422764
"1998-04-12",0.000135783612727273,0.00638182979818182,0.000407350838181818
"1998-04-19",0,0.00393949526911661,0.000135844664452297
"1998-04-26",0,0.0014381703665625,0.000319593414791667
"1998-05-03",0,0.00262295081940984,0.00032786885242623
"1998-05-10",0,0.00441872873977273,0.000378748177694805
"1998-05-17",0,0.00479845826383721,0.00042339337622093
"1998-05-24",0,0.00411793995368421,0.00060557940495356
"1998-05-31",0,0.00571479704311046,0.000112054843982558
"1998-06-07",0,0.0051939120840118,0.000633403912684366
"1998-06-14",0,0.00291805094160714,0.000470653377678571
"1998-06-21",0,0.00495741329829897,0.000777633458556701
"1998-06-28",8.33350939373602e-05,0.00458343016655481,0.0012500264090604
"1998-07-05",0,0.00505492355848168,0.000745808393874346
"1998-07-12",0,0.00447892389977117,0.00108111956201373
"1998-07-19",0,0.00660101733696602,0.00206897558322815
"1998-07-26",0,0.00394804985680191,0.00110545395990453
"1998-08-02",0,0.00601281978554622,0.00147484258890756
"1998-08-09",0,0.00434189707528736,0.00266116272356322
"1998-08-16",0,0.00243408709375,0.0020045423125
"1998-08-23",0,0.0021934634787234,0.000731154492907801
"1998-08-30",0,0.00272428581839117,0.00153981372343849
"1998-09-06",0,0.00185435145583893,0.000618117151946309
"1998-09-13",0,0.00148693514052288,0.000446080542156863
"1998-09-20",0,0.000988060609323529,0.000564606062470588
"1998-09-27",0,0.000552701736094675,0.000138175434023669
"1998-10-04",0.000168664869055118,0.000843324345275591,0.000168664869055118
"1998-10-11",0,0.000142086324541985,0.000284172649083969
"1998-10-18",0,0.000184479753192488,0.000184479753192488
"1998-10-25",0,0.000356555128869565,0.000178277564434783
"1998-11-01",0,0,0
"1998-11-08",0,0,0.000200318175258216
"1998-11-15",0,0.000404248076202532,0
"1998-11-22",0.000205688346695652,0.000205688346695652,0
"1998-11-29",0,0.000212146123224299,0.000212146123224299
"1998-12-06",0,0.000671147764310345,0.000223715921436782
"1998-12-13",0,0.000691224208888889,0
"1998-12-20",0,0.000188423021949153,0.000188423021949153
"1998-12-27",0,0.000714592267988166,0
"1999-01-03",0,0.00333072100280172,0.00019592476487069
"1999-01-10",0,0.0071459976293617,0.000198499934148936
"1999-01-17",0.000189696386585366,0.0111920868085366,0.000379392773170732
"1999-01-24",0,0.0274915389929961,0.000808574676264591
"1999-01-31",0,0.0418192008648036,0.000743452459818731
"1999-02-07",0,0.0349115137030747,0.000935129831332357
"1999-02-14",0,0.0331271375302941,0.000504474175588235
"1999-02-21",0,0.028619628132526,0.00161237341591696
"1999-02-28",0,0.0111195759644118,0.000722050387299465
"1999-03-07",0,0.00329086789236111,0.000493630183854167
"1999-03-14",0,0.00247769189261364,0.00132143567606061
"1999-03-21",0,0.002354964115,0.0018503289475
"1999-03-28",0.000176594950872727,0.00282551921396364,0.00353189901745455
"1999-04-04",0.000277218868785714,0.00180192264710714,0.00263357925346429
"1999-04-11",0.000146956598802817,0.00102869619161972,0.0017634791856338
"1999-04-18",0,0.00360756748491713,0.00253865860049724
"1999-04-25",0,0.00095112029245283,0.00301188092610063
"1999-05-02",0,0.00201088841288136,0.00262962330915254
"1999-05-09",0,0.00133259492560694,0.00230175487150289
"1999-05-16",0,0.00036802164509434,0.00134941269867925
"1999-05-23",0,0.0018790343972093,0.000939517198604651
"1999-05-30",0,0.001169239994,0.00155898665866667
"1999-06-06",0,0.00223220818525672,0.00183828909374083
"1999-06-13",0,0.000655352985579515,0.00104856477692722
"1999-06-20",0,0.000772479281629393,0.00108147099428115
"1999-06-27",0,0.00270961631716981,0.00129590345603774
"1999-07-04",0,0.00256861285141509,0.00128430642570755
"1999-07-11",0,0.00455799590835655,0.00047151681810585
"1999-07-18",0,0.00766394983928218,0.000753831131732673
"1999-07-25",0,0.00935678214388489,0.000909687152877698
"1999-08-01",0,0.00612151797666667,0.000859160417777778
"1999-08-08",0,0.00683865852902375,0.0005470926823219
"1999-08-15",0,0.00667816640466877,0.00139775575911672
"1999-08-22",0,0.00487685415425532,0.00209008035182371
"1999-08-29",0,0.00252613357096085,0.00126306678548043
"1999-09-05",0,0.00392142490642857,0.00235285494385714
"1999-09-12",0,0.00437000737742138,0.00218500368871069
"1999-09-19",0,0.00433734713802083,0.00225542051177083
"1999-09-26",0,0.00163792078039286,0.0025478767695
"1999-10-03",0,0.00178921928615385,0.00198802142905983
"1999-10-10",0,0.00043376898526749,0.0019519604337037
"1999-10-17",0,0.0015324882083871,0.000574683078145161
"1999-10-24",0,0.000504081275450237,0.00151224382635071
"1999-10-31",0,0,0.00106829352126168
"1999-11-07",0,0,0.000752121800518868
